,E_POA_kWm2,Panel_POA_kWm2,E_Beam_kWm2,E_Diffuse_kWm2,E_Ground_kWm2,ET_HRad_kWm2,Wind_Speed_ms,Ambient_Temperature_C,Declination_Angle,Solar_Time,Hour_Angle,AOI,Zenith_Angle,Hour_of_Day,Day_of_Year,Week_of_Year,Month_of_Year
2382,0.006578592335434126,0.006578592335434126,0.0,0.006451998766436421,0.00012659356899770574,0.26272083846992095,4.8,4.86,7.533773566685933,6.077690260934293,-88.8346460859856,86.38886334280834,83.19121484106184,6,100,15,4
2383,0.054413191724492015,0.054413191724492015,0.0,0.053364273581368166,0.0010489181431238477,0.45799986073052,5.78,5.68,7.533773566685933,7.077690260934293,-73.8346460859856,72.30209621283272,74.52928421568079,7,100,15,4
2384,0.06181396141119572,0.06181396141119572,0.0,0.06062036490350307,0.0011935965076926543,0.6319742595045175,6.76,6.5,7.533773566685933,8.077690260934295,-58.834646085985575,58.177274856470305,66.1689740112462,8,100,15,4
2385,0.06920041795799416,0.06920041795799416,0.0,0.0678621430857327,0.0013382748722614607,0.7727879670217566,6.34,6.91,7.533773566685933,9.077690260934295,-43.834646085985575,44.139096778228875,58.59498047231025,9,100,15,4
2386,0.08499135231299237,0.08499135231299237,0.0,0.0833456359160222,0.0016457163969701744,0.8708447618205899,5.91,7.33,7.533773566685933,10.077690260934295,-28.834646085985575,30.446709660065757,52.41768174693988,10,100,15,4
2387,0.05599215674073685,0.05599215674073685,0.0,0.0549070690064708,0.0010850877342660492,0.9194622353819922,5.49,7.74,7.533773566685933,11.077690260934295,-13.834646085985574,18.047945936728137,48.36087613683982,11,100,15,4
2388,0.08583232395558557,0.08583232395558557,0.0,0.08416852276304429,0.0016638011925412756,0.9153271872269287,5.6,7.94,7.533773566685933,12.077690260934295,1.1653539140144265,12.123556784067683,47.080039614395865,12,100,15,4
2389,0.06813017518417007,0.06813017518417007,0.0,0.06680998510747971,0.00132019007669036,0.8587214140536765,5.72,8.14,7.533773566685933,13.077690260934295,16.165353914014425,19.78560750508723,48.82268328277954,13,100,15,4
2390,0.06258670446684728,0.06258670446684728,0.0,0.06137502316358352,0.001211681303263755,0.753502505758529,5.83,8.34,7.533773566685933,14.077690260934295,31.165353914014425,32.53028407326869,53.25731585827779,14,100,15,4
2391,0.09072890528688439,0.09072890528688439,0.0,0.0889746801164876,0.0017542251703967797,0.6068409570593329,5.55,8.01,7.533773566685933,15.077690260934295,46.165353914014425,46.307292909312885,59.697271769224514,15,100,15,4
2392,0.06276653631335138,0.06276653631335138,0.0,0.06155485501008763,0.001211681303263755,0.428731510130272,5.26,7.69,7.533773566685933,16.077690260934293,61.1653539140144,60.37012817159316,67.42991745873732,16,100,15,4
2393,0.02627552736425214,0.02627552736425214,0.0,0.025769153088261314,0.0005063742759908229,0.2313120294397809,4.98,7.36,7.533773566685933,17.077690260934293,76.1653539140144,74.49600517569216,75.86632531660278,17,100,15,4
2394,0.0112806457404623,0.0112806457404623,0.0,0.01106362819360909,0.00021701754685320986,0.028036326345800375,4.8,6.54,7.533773566685933,18.077690260934293,91.1653539140144,88.56760038104672,84.53719584909264,18,100,15,4
2395,0.0,0.0,0.0,0.0,0.0,0.0,4.62,5.72,7.533773566685933,19.077690260934293,106.1653539140144,102.47515324015887,93.03753029906426,19,100,15,4
2396,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.89,7.533773566685933,20.077690260934293,121.1653539140144,116.05991919200034,100.96941364720347,20,100,15,4
2397,0.0,0.0,0.0,0.0,0.0,0.0,3.63,4.86,7.533773566685933,21.077690260934293,136.1653539140144,129.02572614574137,107.89831652626462,21,100,15,4
2398,0.0,0.0,0.0,0.0,0.0,0.0,2.82,4.83,7.533773566685933,22.077690260934293,151.1653539140144,140.72521295225087,113.33739651739192,22,100,15,4
2399,0.0,0.0,0.0,0.0,0.0,0.0,2.01,4.8,7.533773566685933,23.077690260934293,166.1653539140144,149.63420379288607,116.78738043624833,23,100,15,4
2400,0.0,0.0,0.0,0.0,0.0,0.0,1.62,4.39,7.914911995481929,0.08249059090911168,-178.76264113636333,152.45360021083908,117.47192860867622,0,101,15,4
2401,0.0,0.0,0.0,0.0,0.0,0.0,1.23,3.99,7.914911995481929,1.0824905909091116,-163.76264113636333,148.17210129775034,116.01228180411094,1,101,15,4
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.84,3.58,7.914911995481929,2.0824905909091114,-148.76264113636333,138.72790410112358,112.226964961356,2,101,15,4
2403,0.0,0.0,0.0,0.0,0.0,0.0,1.12,3.5,7.914911995481929,3.0824905909091114,-133.76264113636333,126.81026198968199,106.53258008533862,3,101,15,4
2404,0.0,0.0,0.0,0.0,0.0,0.0,1.39,3.42,7.914911995481929,4.082490590909112,-118.76264113636333,113.75131220869321,99.42767462277915,4,101,15,4
2405,0.0,0.0,0.0,0.0,0.0,0.06776550680313397,1.67,3.34,7.914911995481929,5.082490590909112,-103.76264113636333,100.12357017497413,91.3885169968325,5,101,15,4
2406,0.018794647957145715,0.018794647957145715,0.0,0.018432952045723695,0.0003616959114220164,0.27073805463157136,1.92,4.38,7.914911995481929,6.082490590909112,-88.76264113636333,86.19554893619883,82.84003751059868,6,101,15,4
2407,0.08820569123556023,0.08675060426340868,0.006449130278484495,0.08009275976453446,0.0016638011925412756,0.4656597987809344,2.17,5.42,7.914911995481929,7.082490590909112,-73.76264113636333,72.11536355506975,74.17694486861643,7,101,15,4
2408,0.10818814129736742,0.10806408021304696,0.0013993891567955048,0.10470900064989531,0.0020797514906765943,0.6392471445108551,2.41,6.46,7.914911995481929,8.082490590909112,-58.76264113636332,57.98970392259888,65.81006487222474,8,101,15,4
2409,0.05984452709807671,0.05984452709807671,0.0,0.05868710018152625,0.0011574269165504525,0.7796704010764922,3.03,6.93,7.914911995481929,9.082490590909112,-43.76264113636332,43.93998852517436,58.22511036620006,9,101,15,4
2410,0.16343225500511807,0.16343225500511807,0.0,0.16026741578017542,0.0031648392249426435,0.8773599556033015,3.65,7.4,7.914911995481929,10.082490590909112,-28.76264113636332,30.215397521051987,52.03589296782169,10,101,15,4
2411,0.05692087980494876,0.05692087980494876,0.0,0.05581770727511161,0.0011031725298371502,0.925658426389903,4.26,7.86,7.914911995481929,11.082490590909112,-13.762641136363323,17.735834396976045,47.97311690117348,11,101,15,4
2412,0.05970483817145477,0.05970483817145477,0.0,0.05854741125490432,0.0011574269165504525,0.9212743524691867,4.24,8.42,7.914911995481929,12.082490590909112,1.2373588636366772,11.750976737985221,46.70014087611316,12,101,15,4
2413,0.0849232467588467,0.0849232467588467,0.0,0.08327753036187653,0.0016457163969701744,0.8645065012338243,4.22,8.98,7.914911995481929,13.082490590909112,16.23735886363668,19.602741558267198,48.465845714588546,13,101,15,4
2414,0.21795870382460117,0.21788506751679046,0.003983636921892894,0.2097793943302129,0.004195672572495391,0.7592235079321958,4.19,9.53,7.914911995481929,14.082490590909112,31.23735886363668,32.43602303909124,52.930805680689815,14,101,15,4
2415,0.14216453103246882,0.14216453103246882,0.0,0.1394156421056615,0.0027488889268073246,0.6126002345694341,3.88,9.03,7.914911995481929,15.082490590909112,46.23735886363668,46.2452927898733,59.39855667361137,15,101,15,4
2416,0.055268907144062525,0.055268907144062525,0.0,0.05420190420536758,0.0010670029386949484,0.4346288149187982,3.57,8.54,7.914911995481929,16.08249059090911,61.23735886363665,60.31883800561279,67.1509238767311,16,101,15,4
2417,0.06193180984279077,0.06193180984279077,0.0,0.060738213335098115,0.0011935965076926543,0.23743770711779852,3.26,8.04,7.914911995481929,17.08249059090911,76.23735886363664,74.44417701784666,75.59736642179588,17,101,15,4
2418,0.03290010395827048,0.03290010395827048,0.0,0.03226713611328195,0.0006329678449885288,0.03446515928936114,3.0,6.96,7.914911995481929,18.08249059090911,91.23735886363664,88.50704792416504,84.26873814749172,18,101,15,4
2419,0.0,0.0,0.0,0.0,0.0,0.0,2.75,5.89,7.914911995481929,19.08249059090911,106.23735886363664,102.39769560445863,92.76070922911217,19,101,15,4
2420,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.81,7.914911995481929,20.08249059090911,121.23735886363664,115.9550735321214,100.67630379229605,20,101,15,4
2421,0.0,0.0,0.0,0.0,0.0,0.0,2.22,4.67,7.914911995481929,21.08249059090911,136.23735886363664,128.87780908012599,107.58261689237689,21,101,15,4
2422,0.0,0.0,0.0,0.0,0.0,0.0,1.94,4.53,7.914911995481929,22.08249059090911,151.23735886363664,140.5098744358473,112.99589135655334,22,101,15,4
2423,0.0,0.0,0.0,0.0,0.0,0.0,1.66,4.38,7.914911995481929,23.08249059090911,166.23735886363664,149.32396589459432,116.42184350731374,23,101,15,4
2424,0.0,0.0,0.0,0.0,0.0,0.0,1.72,4.0,8.293705065035894,0.08720901778113027,-178.69186473328304,152.0720401372707,117.09216094878268,0,102,15,4
2425,0.0,0.0,0.0,0.0,0.0,0.0,1.79,3.61,8.293705065035894,1.0872090177811302,-163.69186473328304,147.80872575662644,115.6270630024925,1,102,15,4
2426,0.0,0.0,0.0,0.0,0.0,0.0,1.86,3.23,8.293705065035894,2.08720901778113,-148.69186473328304,138.4209626183221,111.84592509529811,2,102,15,4
2427,0.0,0.0,0.0,0.0,0.0,0.0,1.86,3.32,8.293705065035894,3.08720901778113,-133.69186473328304,126.5505335071453,106.16115875630919,3,102,15,4
2428,0.0,0.0,0.0,0.0,0.0,0.0,1.85,3.41,8.293705065035894,4.08720901778113,-118.69186473328305,113.52438553223303,99.06683044229304,4,102,15,4
2429,0.0,0.0,0.0,0.0,0.0,0.0760100047423874,1.85,3.51,8.293705065035894,5.08720901778113,-103.69186473328305,99.91855770673764,91.03597401752162,5,102,15,4
2430,0.03027995781875483,0.03027995781875483,0.0,0.0295746507914819,0.000705307027272932,0.27867196505933833,3.26,4.84,8.293705065035894,6.08720901778113,-88.69186473328305,86.00440716220402,82.4916002873699,6,102,15,4
2431,0.08998785004124027,0.0885729828292679,0.006361327880276336,0.08192655137728044,0.0016999707836834771,0.47323061507269726,4.68,6.18,8.293705065035894,7.08720901778113,-73.69186473328305,71.93128475852214,73.82741789050928,7,102,15,4
2432,0.15034558219278008,0.14949573921379053,0.009691570210104567,0.1378146990780127,0.002839312904662829,0.6464271043074235,6.1,7.51,8.293705065035894,8.08720901778113,-58.69186473328304,57.80539450178162,65.45401577420303,8,102,15,4
2433,0.07854010302170242,0.07854010302170242,0.0,0.07702098019372995,0.001519122827972469,0.7864583782429021,6.69,8.15,8.293705065035894,9.08720901778113,-43.69186473328304,43.744949620399616,57.85808026450076,9,102,15,4
2434,0.6890630106137611,0.6816412087304674,0.48014198116706236,0.1989563070870222,0.009964722359676551,0.8837815369730533,7.29,8.79,8.293705065035894,10.08720901778113,-28.691864733283037,29.98922074899344,51.65682632355844,10,102,15,4
2435,0.7553798610715462,0.752903763927344,0.5145490285579766,0.22978102241962706,0.011049810093942602,0.93176416806454,7.89,9.43,8.293705065035894,11.08720901778113,-13.691864733283037,17.42922279414227,47.58790032661915,11,102,15,4
2436,0.309668908084962,0.30962110176165525,0.023831936766932096,0.27999558234856436,0.005841388969465565,0.9271363345035252,7.6,9.5,8.293705065035894,12.08720901778113,1.3081352667169632,11.381568420060475,46.322649964959616,12,102,15,4
2437,0.13810699266951396,0.13810699266951396,0.0,0.135430442924991,0.0026765497445229215,0.8702134154993358,7.31,9.57,8.293705065035894,13.08720901778113,16.308135266716963,19.425998543418014,48.1113482664225,13,102,15,4
2438,0.09900470681141764,0.09900470681141764,0.0,0.09708771848088095,0.0019169883305366873,0.764874613912535,7.02,9.64,8.293705065035894,14.08720901778113,31.308135266716963,32.345365679325916,52.606523367238665,14,102,15,4
2439,0.06733704790979327,0.06733704790979327,0.0,0.06603494262867401,0.001302105281119259,0.6182985949906639,7.19,9.44,8.293705065035894,15.08720901778113,46.30813526671696,46.18524131318239,59.101852984117215,15,102,15,4
2440,0.05432910052383801,0.05432910052383801,0.0,0.053280182380714164,0.0010489181431238477,0.44047427219492297,7.36,9.25,8.293705065035894,16.08720901778113,61.30813526671696,60.26845238031548,66.87366475155903,16,102,15,4
2441,0.02814930288080443,0.02814930288080443,0.0,0.027606759013671406,0.0005425438671330246,0.24352007925525435,7.53,9.05,8.293705065035894,17.08720901778113,76.30813526671696,74.39251219699707,75.32987132713743,17,102,15,4
2442,0.01409928548044017,0.01409928548044017,0.0,0.013828013546873658,0.0002712719335665123,0.0408581189383031,7.28,8.56,8.293705065035894,18.08720901778113,91.30813526671696,88.44607469414493,84.00152973754048,18,102,15,4
2443,0.0,0.0,0.0,0.0,0.0,0.0,7.03,8.07,8.293705065035894,19.08720901778113,106.30813526671696,102.31932114930947,92.48501473679329,19,102,15,4
2444,0.0,0.0,0.0,0.0,0.0,0.0,6.77,7.58,8.293705065035894,20.08720901778113,121.30813526671696,115.84888352577984,100.38432032726512,20,102,15,4
2445,0.0,0.0,0.0,0.0,0.0,0.0,7.34,7.64,8.293705065035894,21.08720901778113,136.30813526671696,128.72825056858855,107.26819109072206,21,102,15,4
2446,0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.7,8.293705065035894,22.08720901778113,151.30813526671696,140.2930373498776,112.65595546408599,22,102,15,4
2447,0.0,0.0,0.0,0.0,0.0,0.0,8.47,7.76,8.293705065035894,23.08720901778113,166.30813526671696,149.013669598103,116.05826187673978,23,102,15,4
2448,0.0,0.0,0.0,0.0,0.0,0.0,8.06,7.62,8.670040530786256,0.09184013875847014,-178.62239791862294,151.6928994463922,116.71482328007187,0,103,15,4
2449,0.0,0.0,0.0,0.0,0.0,0.0,7.65,7.48,8.670040530786256,1.0918401387584702,-163.62239791862294,147.44773350985312,115.24450725003858,1,103,15,4
2450,0.0,0.0,0.0,0.0,0.0,0.0,7.24,7.34,8.670040530786256,2.09184013875847,-148.62239791862294,138.11567075749528,111.46763931913792,2,103,15,4
2451,0.0,0.0,0.0,0.0,0.0,0.0,6.67,7.22,8.670040530786256,3.09184013875847,-133.62239791862294,126.29227432212201,105.79250842796552,3,103,15,4
2452,0.0,0.0,0.0,0.0,0.0,0.0,6.09,7.11,8.670040530786256,4.09184013875847,-118.62239791862295,113.29907516659915,98.70876785023134,4,103,15,4
2453,0.0,0.0,0.0,0.0,0.0,0.08417520557785341,5.52,7.0,8.670040530786256,5.09184013875847,-103.62239791862295,99.7154545118391,90.68624907795726,5,103,15,4
2454,0.008456408703443292,0.008456408703443292,0.0,0.008293645543303385,0.00016276316013990737,0.28651944992281453,6.0,7.88,8.670040530786256,6.09184013875847,-88.62239791862295,85.81555654356357,82.14604472454502,6,103,15,4
2455,0.04877391588578692,0.04877391588578692,0.0,0.047833506516089676,0.0009404093696972427,0.4807095573989235,6.49,8.75,8.670040530786256,7.09184013875847,-73.62239791862295,71.7499700654775,73.48084499133174,7,103,15,4
2456,0.0964464097580258,0.0964464097580258,0.0,0.09458367581420242,0.0018627339438233846,0.6535117930960076,6.98,9.63,8.670040530786256,8.09184013875847,-58.62239791862294,57.62445259374658,65.1009686888315,8,103,15,4
2457,0.6735954381553443,0.652264040975675,0.5615960282033073,0.10283041859748882,0.009168991354548118,0.7931499702205095,7.71,10.24,8.670040530786256,9.09184013875847,-43.62239791862294,43.55409081428362,57.49403140727225,9,103,15,4
2458,0.1881988779633039,0.18817723653551477,0.0014235857221085973,0.18314024833140402,0.003635043909791265,0.8901079777643919,8.43,10.85,8.670040530786256,10.09184013875847,-28.622397918622937,29.768323836679848,51.28061860346706,10,103,15,4
2459,0.8721556025200953,0.8689404749252042,0.6927487240510894,0.16729006543636832,0.01211681303263755,0.9377782877442227,9.16,11.47,8.670040530786256,11.09184013875847,-13.622397918622937,17.128371697739652,47.20535203147982,11,103,15,4
